date,category,amount
2025-04-01,Part-time Job,500.00
2025-04-05,Eating Out,-200.00
2025-04-08,Groceries,-100.00
2025-04-12,Entertainment,-120.00
2025-04-15,Rent,-600.00
2025-04-18,Shopping,-180.00
2025-04-20,Utilities,-50.00
2025-04-22,Coffee,-50.00
2025-04-25,Books,-80.00
2025-04-28,Scholarship,1000.00
2025-05-01,Part-time Job,500.00
2025-05-05,Eating Out,-160.00
2025-05-08,Groceries,-100.00
2025-05-12,Entertainment,-100.00
2025-05-15,Rent,-600.00
2025-05-18,Shopping,-140.00
2025-05-20,Utilities,-50.00
2025-05-22,Coffee,-35.00
2025-05-25,Books,-80.00
2025-05-28,Scholarship,1000.00
2025-06-02,Part-time Job,500.00
2025-06-05,Eating Out,-90.00
2025-06-08,Groceries,-100.00
2025-06-12,Entertainment,-55.00
2025-06-15,Rent,-600.00
2025-06-18,Shopping,-70.00
2025-06-20,Utilities,-50.00
2025-06-22,Coffee,-15.00
2025-06-25,Books,-80.00
2025-06-28,Scholarship,1000.00
2025-07-01,Part-time Job,500.00
2025-07-04,Eating Out,-50.00
2025-07-07,Groceries,-100.00
2025-07-11,Entertainment,-30.00
2025-07-15,Rent,-600.00
2025-07-18,Shopping,-35.00
2025-07-20,Utilities,-50.00
2025-07-23,Coffee,-10.00
2025-07-26,Books,-80.00
2025-07-29,Scholarship,1000.00
